,Nuclear,geothermal,hydroelectric_pumped_storage,natural_gas_fired_combined_cycle,onshore_wind_turbine,solar_photovoltaic,actual_solar,actual_wind,charge,discharge,soc,demand,net_supply,curtail,Hour
0,100.00000000000004,456.5188388743999,989.5886751228,0.0,45.924856608,681.9676293948,681.9676293948,45.924856608,0.0,989.5886751228,7745.0,2274,2274.0,0.0,1
1,100.00000000000004,2028.3568968684,369.9086751227999,0.0,82.73442800880001,0.0,0.0,82.73442800880001,0.0,369.9086751227999,7304.632529615715,2581,2581.0,0.0,2
2,100.00000000000004,2094.9999999999995,310.32164313960016,0.0,70.6783568604,0.0,0.0,70.6783568604,0.0,310.32164313960016,6935.202002068571,2576,2576.0,0.0,3
3,100.00000000000004,2099.7,141.62968102800005,0.0,140.670318972,0.0,0.0,140.670318972,0.0,141.62968102800005,6766.59523894,2482,2482.0,0.0,4
4,100.00000000000004,2020.9798873648,0.0,0.0,275.0201126352,0.0,0.0,275.0201126352,0.0,0.0,6766.59523894,2396,2396.0,0.0,5
5,0.0,1889.192096802,0.0,0.0,303.807903198,0.0,0.0,303.807903198,0.0,0.0,6766.59523894,2193,2193.0,0.0,6
6,0.0,1675.7357940612,0.0,0.0,253.2642059388,0.0,0.0,253.2642059388,0.0,0.0,6766.59523894,1929,1929.0,0.0,7
7,0.0,1514.670112964,0.0,0.0,200.329887036,0.0,0.0,200.329887036,0.0,0.0,6766.59523894,1715,1715.0,0.0,8
8,0.0,1351.3614493432,0.0,0.0,203.6385506568,0.0,0.0,203.6385506568,0.0,0.0,6766.59523894,1555,1555.0,0.0,9
9,0.0,1220.8027296504,0.0,0.0,252.1972703496,0.0,0.0,252.1972703496,0.0,0.0,6766.59523894,1473,1473.0,0.0,10
10,0.0,1200.27907292,0.0,0.0,262.72092708,0.0,0.0,262.72092708,0.0,0.0,6766.59523894,1463,1463.0,0.0,11
11,0.0,1323.6319446672,0.0,0.0,179.36805533280005,0.0,0.0,179.36805533280005,0.0,0.0,6766.59523894,1503,1503.0,0.0,12
12,0.0,1543.5043473676,0.0,0.0,98.4956526324,0.0,0.0,98.4956526324,0.0,0.0,6766.59523894,1642,1642.0,0.0,13
13,0.0,1735.8887196584,0.0,0.0,114.1112803416,0.0,0.0,114.1112803416,0.0,0.0,6766.59523894,1850,1850.0,0.0,14
14,0.0,1753.984130426,0.0,0.0,297.015869574,0.0,0.0,297.015869574,0.0,0.0,6766.59523894,2051,2051.0,0.0,15
15,0.0,1661.2666483256005,0.0,0.0,219.3116598828,248.4216917916,248.4216917916,219.3116598828,0.0,0.0,6766.59523894,2129,2129.0000000000005,0.0,16
16,0.0,1115.522481852,0.0,0.0,267.9147486636,821.5627694844,821.5627694844,267.9147486636,0.0,0.0,6766.59523894,2205,2205.0,0.0,17
17,0.0,986.0033036296,0.0,0.0,156.1368640668,1141.8598323036,1141.8598323036,156.1368640668,0.0,0.0,6766.59523894,2284,2284.0,0.0,18
18,0.0,945.7073041259998,0.0,0.0,64.0980926796,1303.1946031944,1303.1946031944,64.0980926796,0.0,0.0,6766.59523894,2313,2313.0,0.0,19
19,0.0,928.4948205864,0.0,0.0,93.2044948128,1390.3006846008,1390.3006846008,93.2044948128,0.0,0.0,6766.59523894,2412,2412.0,0.0,20
20,0.0,752.4564580716001,0.0,0.0,215.7695612568,1419.7739806716,1419.7739806716,215.7695612568,0.0,0.0,6766.595238939999,2388,2388.0,2.8421709430404014e-14,21
21,0.0,1209.513596422399,-534.6672806215986,0.0,246.61548415919992,1388.53820004,1121.2045597292008,-20.718156151599374,534.6672806215985,0.0,7215.715754662142,2310,2310.0,8.526512829121202e-14,22
22,0.0,1868.0704634795989,-1154.3472806215989,0.0,222.0005861832,1318.2762309588,741.1025906480006,-355.17305412759936,1154.3472806215989,0.0,8185.367470384285,2254,2254.0,0.0,23
23,0.0,342.48,369.9086751227999,0.0,407.6498279892,1081.961496888,1081.961496888,407.6498279892,0.0,369.9086751227999,7745.0,2202,2202.0,0.0,24
24,99.99999999999912,342.48,802.7762647160006,0.0,259.0442680404,697.6994672436001,697.6994672436001,259.0442680404,0.0,802.7762647160006,7745.0,2202,2202.0,0.0,25
25,99.99999999999912,2091.2875654959994,183.09626471600143,0.0,62.616169788,0.0,0.0,62.616169788,0.0,183.09626471600143,7527.028256290475,2437,2437.0,0.0,26
26,99.99999999999912,2101.15,225.9752755428011,0.0,25.8747244572,0.0,0.0,25.8747244572,0.0,225.9752755428011,7258.010071120473,2453,2453.0,0.0,27
27,99.99999999999912,2073.4152086899985,2.2787591005298857e-12,0.0,235.58479131,0.0,0.0,235.58479131,0.0,2.2787591005298857e-12,7258.0100711204705,2409,2409.0,0.0,28
28,1.1102230246251564e-14,1906.35,91.76284142040024,0.0,350.8871585796,0.0,0.0,350.8871585796,0.0,91.76284142040024,7148.768593239042,2349,2349.0,0.0,29
29,0.0,1915.000000000004,-158.51605707120365,0.0,419.51605707120007,0.0,-79.25802853560182,340.2580285355982,158.51605707120365,0.0,7281.922081178854,2176,2176.0,0.0,30
30,0.0,1422.0190308707995,0.0,0.0,461.9809691292,0.0,0.0,461.9809691292,0.0,0.0,7281.922081178854,1884,1884.0,0.0,31
31,0.0,1196.5733835876,0.0,0.0,420.4266164124,0.0,0.0,420.4266164124,0.0,0.0,7281.922081178854,1617,1617.0,0.0,32
32,0.0,1149.7408530356,0.0,0.0,301.2591469644,0.0,0.0,301.2591469644,0.0,0.0,7281.922081178854,1451,1451.0,0.0,33
33,0.0,869.9537463336,0.0,0.0,507.0462536664,0.0,0.0,507.0462536664,0.0,0.0,7281.922081178854,1377,1377.0,0.0,34
34,0.0,984.3209263332,0.0,0.0,425.6790736668,0.0,0.0,425.6790736668,0.0,0.0,7281.922081178854,1410,1410.0,0.0,35
35,0.0,1299.8793829512,0.0,0.0,188.1206170488,0.0,0.0,188.1206170488,0.0,0.0,7281.922081178854,1488,1488.0,0.0,36
36,0.0,1940.3500000000035,-350.0401654980038,0.0,78.690165498,0.0,-175.0200827490019,-96.32991725100187,350.0401654980038,0.0,7575.955820197177,1669,1668.9999999999998,0.0,37
37,0.0,1927.250000000004,-164.18993226480364,0.0,167.9399322648,0.0,-82.09496613240182,85.84496613239818,164.18993226480364,0.0,7713.875363299611,1931,1931.0,0.0,38
38,0.0,1914.7000000000007,108.88380416999917,0.0,158.41619583,0.0,0.0,158.41619583,0.0,108.88380416999917,7584.251786906755,2182,2182.0,0.0,39
39,0.0,1908.7000000000037,-183.42031838880345,0.0,288.37289052,288.3474278688,196.6372686743983,196.6627313255983,183.42031838880345,0.0,7738.32485435335,2302,2302.0,0.0,40
40,0.0,1266.6242397659998,0.0,0.0,282.32155885080005,872.0542013832,872.0542013832,282.32155885080005,0.0,0.0,7738.32485435335,2421,2421.0,0.0,41
41,0.0,1048.0389349404,0.0,0.0,310.0894134540001,1176.8716516056,1176.8716516056,310.0894134540001,0.0,0.0,7738.32485435335,2535,2535.0,-1.1368683772161605e-13,42
42,0.0,1129.2674348684,0.0,0.0,105.5145991296,1353.217966002,1353.217966002,105.5145991296,0.0,0.0,7738.32485435335,2588,2588.0,0.0,43
43,0.0,1020.4674737588,0.0,0.0,203.91893881559983,1459.6135874256,1459.6135874256,203.91893881559983,0.0,0.0,7738.32485435335,2684,2684.0,1.1368683772161605e-13,44
44,0.0,924.5652695143998,0.0,0.0,229.7299105944,1499.7048198912,1499.7048198912,229.7299105944,0.0,0.0,7738.324854353349,2654,2654.0,0.0,45
45,0.0,767.1783651991999,0.0,0.0,282.10008366960005,1517.7215511312,1517.7215511312,282.10008366960005,0.0,0.0,7738.324854353349,2567,2567.0,0.0,46
46,0.0,1289.1038514218658,-267.43677304306584,0.0,149.36226049200002,1334.9706611292,1201.252274607667,15.643873970467098,267.43677304306584,0.0,7962.971743709524,2506,2506.0,0.0,47
