,generator,total_cost_$_per_mwh,Hour
0,geothermal,3.539772808219178,1
1,geothermal,3.539772808219178,2
2,geothermal,3.539772808219178,3
3,geothermal,3.539772808219178,4
4,geothermal,3.539772808219178,5
5,geothermal,3.539772808219178,6
6,geothermal,3.539772808219178,7
7,geothermal,3.539772808219178,8
8,geothermal,3.539772808219178,9
9,geothermal,3.539772808219178,10
10,geothermal,3.539772808219178,11
11,geothermal,3.539772808219178,12
12,geothermal,3.539772808219178,13
13,geothermal,3.539772808219178,14
14,geothermal,3.539772808219178,15
15,geothermal,3.539772808219178,16
16,geothermal,3.539772808219178,17
17,geothermal,3.539772808219178,18
18,geothermal,3.539772808219178,19
19,geothermal,3.539772808219178,20
20,geothermal,3.539772808219178,21
21,geothermal,3.539772808219178,22
22,geothermal,3.539772808219178,23
23,geothermal,3.539772808219178,24
24,geothermal,3.539772808219178,25
25,geothermal,3.539772808219178,26
26,geothermal,3.539772808219178,27
27,geothermal,3.539772808219178,28
28,geothermal,3.539772808219178,29
29,geothermal,3.539772808219178,30
30,geothermal,3.539772808219178,31
31,geothermal,3.539772808219178,32
32,geothermal,3.539772808219178,33
33,geothermal,3.539772808219178,34
34,geothermal,3.539772808219178,35
35,geothermal,3.539772808219178,36
36,geothermal,3.539772808219178,37
37,geothermal,3.539772808219178,38
38,geothermal,3.539772808219178,39
39,geothermal,3.539772808219178,40
40,geothermal,3.539772808219178,41
41,geothermal,3.539772808219178,42
42,geothermal,3.539772808219178,43
43,geothermal,3.539772808219178,44
44,geothermal,3.539772808219178,45
45,geothermal,3.539772808219178,46
46,geothermal,3.539772808219178,47
47,geothermal,3.539772808219178,48
48,geothermal,3.539772808219178,49
49,geothermal,3.539772808219178,50
50,geothermal,3.539772808219178,51
51,geothermal,3.539772808219178,52
52,geothermal,3.539772808219178,53
53,geothermal,3.539772808219178,54
54,geothermal,3.539772808219178,55
55,geothermal,3.539772808219178,56
56,geothermal,3.539772808219178,57
57,geothermal,3.539772808219178,58
58,geothermal,3.539772808219178,59
59,geothermal,3.539772808219178,60
60,geothermal,3.539772808219178,61
